Reference ID,Hymn Number,Title (Myanmar),Title (English),Composer,Category,Scriptures,PDF,PPTX,Verse Count,Lyrics
24,13,"ချီးမွမ်းခြင်းကျူး","Praise my soul the king of Heaven","Henry Smart (1813-1879)","ဂုဏ်တော်ချီးမွမ်း","ဆာ၊ ၆၈း၃၁-၃၂","files/hymn-24.pdf","files/hymn-24.pptx",3,"[Verse 1]"
25,14,"ထောမနာကျူး","N/A","Robert Simpson (1790-1832)","ဂုဏ်တော်ချီးမွမ်း","ဆာ၊ ၆၆း၁-၉","files/hymn-25.pdf","files/hymn-25.pptx",6,"[Verse 1]"
26,15,"ချီးမွမ်းကျူး","N/A","Carl M. vonWeber","ဂုဏ်တော်ချီးမွမ်း","ဆာ၊ ၁၁၇","files/hymn-26.pdf","files/hymn-26.pptx",3,"[Verse 1]"
27,16,"ထောမနာများ","N/A","Genevan Psalter (1551-)","ဂုဏ်တော်ချီးမွမ်း","N/A","files/hymn-27.pdf","files/hymn-27.pptx",3,"[Verse 1]"
28,17,"သိမှတ်ဝင်ကျူး","N/A","William B. Bradbury (1816-1868)","ဂုဏ်တော်ချီးမွမ်း","ဆာ၊ ၁၁၀","files/hymn-28.pdf","files/hymn-28.pptx",4,"[Verse 1]"
29,18,"ဂုဏ်တော်ချီးမွမ်းကျူး","Joyful, Joyful We Adore Thee","Ludwig Van Beethoven (1770-1827)","ဂုဏ်တော်ချီးမွမ်း","N/A","files/hymn-29.pdf","files/hymn-29.pptx",4,"[Verse 1]"
30,19,"၁၄၈ ခုမြောက် ဆာလံ","N/A","N/A","ဂုဏ်တော်ချီးမွမ်း","N/A","files/hymn-30.pdf","files/hymn-30.pptx",4,"[Verse 1]"
31,20,"ထောမနာ သီချင်း","N/A","N/A","ဂုဏ်တော်ချီးမွမ်း","ဆာ၊ ၁၀၃","files/hymn-31.pdf","files/hymn-31.pptx",5,"[Verse 1]"
32,21,"ချီးမွမ်းခြင်းကျူး","N/A","Lowell Mason (1792-1872)","ဂုဏ်တော်ချီးမွမ်း","ဆာ၊ ၁၀၇း၂၁-၂၂","files/hymn-32.pdf","files/hymn-32.pptx",4,"[Verse 1]"
33,22,"ဘုန်းတော်ချီးကျူး","With one consent let all the earth","Genevan Psalter (1551)","ဂုဏ်တော်ချီးမွမ်း","ဆာ၊ ၁၄၅","files/hymn-33.pdf","files/hymn-33.pptx",4,"[Verse 1]"
34,23,"ကိုယ်တော်ကို ချီးမွမ်းကြလော့ကျူး","Praise Him! Praise Him","Chester G. Allen (1838-1878)","ဂုဏ်တော်ချီးမွမ်း","ဆာ၊ ၁၄၆း၂","files/hymn-34.pdf","files/hymn-34.pptx",3,"[Verse 1]"
35,24,"ထောမနာကျူး","N/A","J. P. Halbrook","ဂုဏ်တော်ချီးမွမ်း","N/A","files/hymn-35.pdf","files/hymn-35.pptx",3,"[Verse 1]"
36,25,"ဘုန်းတော် ခိုလှုံကျူး","O Worship the King","Johann M. Haydn (1737-1806)","ဂုဏ်တော်ချီးမွမ်း","N/A","files/hymn-36.pdf","files/hymn-36.pptx",4,"[Verse 1]"
37,26,"အနန္တတန်ခိုးရှင် ချီးမြှောက်ကျူး","Come Thou Almighty King","Folice De Guardini (1716-1796)","ဂုဏ်တော်ချီးမွမ်း","၁ ယော၊ ၅း၇","files/hymn-37.pdf","files/hymn-37.pptx",5,"[Verse 1]"
38,38,"Hymn Not Found","Home",,,,,,0,
39,27,"ဝတ်မပြုမီကျူး","N/A","N/A","စည်းဝေးအစ","ဆာ၊ ၁၀၄း၃၀","files/hymn-39.pdf","files/hymn-39.pptx",5,"[Verse 1]"
40,28,"ကိုးကွယ်သီးကျူး","N/A","Lowelll Mason (1792-1872)","စည်းဝေးအစ","ယော၊ ၄း၂၃","files/hymn-40.pdf","files/hymn-40.pptx",4,"[Verse 1]"
41,29,"နှိုးဆော်သီချင်း","N/A","Franz J. Hadyn (1732-1809)","စည်းဝေးအစ","ဆာ၊ ၁၁၂း၁","files/hymn-41.pdf","files/hymn-41.pptx",4,"[Verse 1]"
42,30,"ဂုဏ်တော်ချီးမွမ်းကျူး","We gather together to ask the Lord’s Blessing","N/A","စည်းဝေးအစ","ဆာ၊ ၄၃း၃","files/hymn-42.pdf","files/hymn-42.pptx",3,"[Verse 1]"
43,31,"ကိုးကွယ်ဉီးကျူး","N/A","Thomas Hastings (1784-1872)","စည်းဝေးအဆုံး","ဆာ ၉၅း၆","files/hymn-43.pdf","files/hymn-43.pptx",3,"[Verse 1]"
44,32,"သင့်အတွက် ငါဆုတောင်းခြင်းကျူး","I am praying for you","Ira D. Sankey (1840-1908)","စည်းဝေးအဆုံး","ဆာ၊ ၆၁း၁၇","files/hymn-44.pdf","files/hymn-44.pptx",5,"[Verse 1]"
45,33,"ကိုယ်တော်နှင့်အတူ ရှိပါစေသောကျူး","God be with you","William G. Tomer","စည်းဝေးအဆုံး","ရော၊ ၁၆း၂၈","files/hymn-45.pdf","files/hymn-45.pptx",5,"[Verse 1]"
46,34,"တပည့်တော်တို့ ခံရသော အကျိုးကျေးဇူး","N/A","George","စည်းဝေးအဆုံး","N/A","files/hymn-46.pdf","files/hymn-46.pptx",4,"[Verse 1]"
47,35,"ကိုးကွယ်ဆုံးကျူး","I will follow Thee","N/A","စည်းဝေးအဆုံး","N/A","files/hymn-47.pdf","files/hymn-47.pptx",2,"[Verse 1]"
48,36,"စုဝေးလွှတ်ခြင်းကျူး","N/A","N/A","စည်းဝေးအဆုံး","N/A","files/hymn-48.pdf","files/hymn-48.pptx",2,"[Verse 1]"
49,37,"စည်းဝေးဆုံးသီချင်း","N/A","N/A","စည်းဝေးအဆုံး","၁ ပေ၊ ၁း၁၂","files/hymn-49.pdf","files/hymn-49.pptx",3,"[Verse 1]"
50,50,"Hymn Not Found","Home",,,,,,0,
51,38,"သန့်ရှင်းတော်မူခြင်းကျူး","Holy, Holy, Holy! Lord God Almighty","John B. Dyles (1823-1878)","ဖန်ဆင်းရှင်","ဗျာ၊ ၄း၈","files/hymn-51.pdf","files/hymn-51.pptx",4,"[Verse 1]"
52,39,"ထောမနာပြုခြင်းကျူး","To Him who loved the souls of men","John B. Dyles (1823-1876)","ဖန်ဆင်းရှင်","ဟေ၊ ၄း၁၄-၁၆","files/hymn-52.pdf","files/hymn-52.pptx",2,"[Verse 1]"
53,40,"ပထမ ဆာလံကျူး","N/A","N/A","ဖန်ဆင်းရှင်","ဆာလံ ၁","files/hymn-53.pdf","files/hymn-53.pptx",8,"[Verse 1]"
54,41,"မင်္ဂလာဆုကျူး","Come Thou fount of every blessing","John Wyeth (1770-1859)","ဖန်ဆင်းရှင်","၁ရာ၊ ၇း၁၂","files/hymn-54.pdf","files/hymn-54.pptx",3,"[Verse 1]"
55,42,"ကျေးဇူးတင်ခြင်းကျူး","My God, I thank Thee","Frederick C. Maker (1844-1927)","ဖန်ဆင်းရှင်","၁ ကော၊ ၂၉း၁၃","files/hymn-55.pdf","files/hymn-55.pptx",3,"[Verse 1]"
56,43,"ကျေးဇူးတော်ဘူးများ ဖွင့်သောနေ့မှာဆိုရန်","N/A","N/A","ဖန်ဆင်းရှင်","N/A","files/hymn-56.pdf","files/hymn-56.pptx",5,"[Verse 1]"
57,44,"ချီးမြှောက်ကျူး","Ye tribe of Adam, join","N/A","ဖန်ဆင်းရှင်","ဆာ၊ ၁၄၈း၁-၆","files/hymn-57.pdf","files/hymn-57.pptx",3,"[Verse 1]"
58,45,"မေတ္တာတော်ကျူး","Awake, my soul, in joyful lays","N/A","ဖန်ဆင်းရှင်","ဟေ၊ ၆၃း၇","files/hymn-58.pdf","files/hymn-58.pptx",5,"[Verse 1]"
59,46,"ဂုဏ်တော်ချီးမွမ်းကျူး","Now thank we all our God","N/A","ဖန်ဆင်းရှင်","ဆာ၊ ၆၆း၇","files/hymn-59.pdf","files/hymn-59.pptx",3,"[Verse 1]"
60,47,"တင့်တယ်လှပရှိသမျှကျူး","All things bright and beautiful","N/A","ဖန်ဆင်းရှင်","ဆာ၊ ၈","files/hymn-60.pdf","files/hymn-60.pptx",5,"[Verse 1]"
61,48,"ကယ်တင်ခြင်းငှါ စွမ်းကြီးဘုရားကျူး","Eternal Father strong to save","N/A","ဖန်ဆင်းရှင်","ဆာ၊ ၁၀၇း၂၉","files/hymn-61.pdf","files/hymn-61.pptx",5,"[Verse 1]"
62,49,"ဝေနေယျသတ္တဝါအပေါင်းကျူး","All creatures of our God and King","N/A","တန်ခိုးတော်","ဆာ၊ ၁၄၈","files/hymn-62.pdf","files/hymn-62.pptx",5,"[Verse 1]"
63,50,"နက်နဲဉာဏ်ပြည့်စုံသော နိစ္စဘုရားမြတ်ကျူး","Immortal, invisible, God only wise","N/A","တန်ခိုးတော်","၁ တိ၊ ၁း၁၇","files/hymn-63.pdf","files/hymn-63.pptx",4,"[Verse 1]"
64,51,"ချီးမွမ်းကျူး","We Praise Thee, o God","John J. Husban (1760-1825)","တန်ခိုးတော်","ဆာ၊ ၁၀၅း၁-၈","files/hymn-64.pdf","files/hymn-64.pptx",6,"[Verse 1]"
65,52,"ဘုန်းတော်ကျူး","N/A","Henry K. Oliver (1800-1885)","တန်ခိုးတော်","ဆာ၊ ၁၃၃း၄-၁၅","files/hymn-65.pdf","files/hymn-65.pptx",5,"[Verse 1]"
66,53,"ကျေးဇူးမြတ်နိုးဖွယ်သံ","Grace tis a charming sound","N/A","တန်ခိုးတော်","၂ ကော၊ ၉း၁၅","files/hymn-66.pdf","files/hymn-66.pptx",4,"[Verse 1]"
67,54,"၁၃၉ ခုမြောက်သော ဆာလံ","N/A","Chas Barney (1726-1814)","တန်ခိုးတော်","N/A","files/hymn-67.pdf","files/hymn-67.pptx",5,"[Verse 1]"
68,55,"ဂုဏ်တော်ကျူး","N/A","Lowell Mason (1792-1872)","တန်ခိုးတော်","N/A","files/hymn-68.pdf","files/hymn-68.pptx",4,"[Verse 1]"
69,56,"ခမည်းတော်ကမ္ဘာကျူး","This is my father’s world","Frankline L. Shepard","တန်ခိုးတော်","ဆာ၊ ၈၉း၁၀-၁၈","files/hymn-69.pdf","files/hymn-69.pptx",3,"[Verse 1]"
70,57,"ဂုဏ်တော်ကျူး","N/A","Lowell Mason (1792-1872)","တန်ခိုးတော်","ဆာ ၃၆း၁-၉","files/hymn-70.pdf","files/hymn-70.pptx",5,"[Verse 1]"
71,58,"ကျွန်ုပ်လက်ကို ကိုင်ဆွဲမူပါကျူး","Hold Thou my hand","Hubert P. Main","တန်ခိုးတော်","N/A","files/hymn-71.pdf","files/hymn-71.pptx",4,"[Verse 1]"
72,59,"၂၄ ခုမြောက်ဆာလံ","N/A","Tucker (1761-1825)","တန်ခိုးတော်","N/A","files/hymn-72.pdf","files/hymn-72.pptx",5,"[Verse 1]"
73,60,"သိုးထိန်းတော် မေတ္တာရှင် ဘုရင်ကျူး","The king of love my shepherd is","John B. Bykes (1823-1876)","ကရုဏာတော်ရှင်","ဟေရှာ ၄၀","files/hymn-73.pdf","files/hymn-73.pptx",6,"[Verse 1]"
74,61,"ဆာလံကျူး ၂၃","N/A","Dimitri S. Portniansky (1752-1825)","ကရုဏာတော်ရှင်","N/A","files/hymn-74.pdf","files/hymn-74.pptx",3,"[Verse 1]"
75,62,"ထာဝရဘုရားသည် အစဉ်ခိုလှုံရာ ဖြစ်တော်မူကြောင်း","O God, or help in ages past","William Croft","ကရုဏာတော်ရှင်","ဆာ၊ ၉ဝး၁","files/hymn-75.pdf","files/hymn-75.pptx",6,"[Verse 1]"
76,63,"ချစ်သနားတော်မူကျူး","God loved the world","William G. Fischer (1835-1912)","ကရုဏာတော်ရှင်","ယော ၃း၁၆","files/hymn-76.pdf","files/hymn-76.pptx",5,"[Verse 1]"
77,64,"ချစ်တော်မူသည်ကို ကြည့်ရှုဆင်ခြင်လော့ကျူး","Behold what love","J. Mc.Granaham","ကရုဏာတော်ရှင်","N/A","files/hymn-77.pdf","files/hymn-77.pptx",5,"[Verse 1]"
78,65,"သခင်ဘုရားမေတ္တာဖြစ်၏ကျူး","I will follow Thee","N/A","ကရုဏာတော်ရှင်","၁ ယော၊ ၄း၈","files/hymn-78.pdf","files/hymn-78.pptx",2,"[Verse 1]"
79,66,"ဘုရားသခင်အား ဘုန်းကြီးစေသောကျူး","To God be the glory","William H. Doane (1832-1915)","ကရုဏာတော်ရှင်","ဆာ၊ ၂၉း၂","files/hymn-79.pdf","files/hymn-79.pptx",4,"[Verse 1]"
80,67,"ဆုတောင်းရန် အချိန်ကျပြီကျူး","Tis the Blessed hour of prayer","William H. Doane","ကရုဏာတော်ရှင်","တ၊ ၃း၁","files/hymn-80.pdf","files/hymn-80.pptx",4,"[Verse 1]"
81,68,"ခရစ်စမတ်သီချင်း","N/A","Isaac B. Boodbury (1819-1858)","ဖွားမြင်တော်မူခြင်း","လု၊ ၂း၉-၁၄","files/hymn-81.pdf","files/hymn-81.pptx",4,"[Verse 1]"
82,69,"ကင်းစောင့််ကျူး","Watchman, tell us the night","Lowell Mason (1792-1872)","ဖွားမြင်တော်မူခြင်း","မ၊ ၂၄း၄၂","files/hymn-82.pdf","files/hymn-82.pptx",3,"[Verse 1]"
83,70,"ယေရှု၏ ဖွားမြင်ခြင်းကျူး","As with gladness men of old","N/A","ဖွားမြင်တော်မူခြင်း","မ၊ ၂း၁၀-၁၁","files/hymn-83.pdf","files/hymn-83.pptx",4,"[Verse 1]"
84,71,"ပလ္လင်တော်စွန့်ခြင်းကျူး","Thou didst leave Thy Throne","Ira D. Sankey (1840-1908)","ဖွားမြင်တော်မူခြင်း","လု၊ ၅း၄၁","files/hymn-84.pdf","files/hymn-84.pptx",6,"[Verse 1]"
85,72,"ယေရှုလာတော်မူကျူး","Joy to the world the Lord is come","George F. Handel","ဖွားမြင်တော်မူခြင်း","ဟေရှာ ၉း၆","files/hymn-85.pdf","files/hymn-85.pptx",4,"[Verse 1]"
86,73,"ရှေ့ပြည်မှ ဘုရင်သုံးပါးကျူး","We Three Kings of Orient Are","John H. Hopkins","ဖွားမြင်တော်မူခြင်း","မ၊ ၂း၁-၂","files/hymn-86.pdf","files/hymn-86.pptx",6,"[Verse 1]"
87,74,"နားထောင်ကောင်းကင်သား ကြွေးကြော်","Hark the Herald Angels Sing","Felix Mandelson (1809-1847)","ဖွားမြင်တော်မူခြင်း","လုကာ ၂း၁၄","files/hymn-87.pdf","files/hymn-87.pptx",3,"[Verse 1]
နားထောင် ကောင်းကင်သား ကြွေးကြော်၊ ခုဖွားမြင် ဘုရင့် ဘုန်းတော်၊
ကမ္ဘာပေါ်တွင် ငြိမ်သက်စေ။ ကောင်းကင်ဘုံတွင် ဘုန်းကြီးစေ၊
ပြစ်ရှိသူများ ချမ်းသာ၍ ဘုရားသခင်နှင့် ဆုံတွေ့၊
ဗက်လင်မြို့တွင် ကယ်တင်ရှင်၊ ဖွားမြင်ပြီ ငါတို့သခင်၊
နားထောင် ကောင်းကင်သား ကြွေးကြော်၊ ခုဖွားမြင် ဘုရင့်ဘုန်းတော်။

[Verse 2]
ကောင်းကင်ဘုံ သားတို့ ဘုရင်၊ ထာဝရ ခရစ်တော်ရှင်၊
ချိန်တန်ကာလ ဆင်းသက်၍ ကညာဝမ်း၌ ကိန်းအောင်းလေ၊
လူ့ဇာတိ ကိုယ်တော်မြတ် ဆောင်၊ ကယ်တင်အံ့ငှာ လူတို့ဘောင်၊
ဧမာနွေလ ဆင်းသက်ပြီ၊ လူတို့တွင် တည်တော်မူမည်၊
နားထောင် ကောင်းကင်သား ကြွေးကြော်၊ ခုဖွားမြင် ဘုရင့်ဘုန်းတော်။

[Verse 3]
ကောင်းကင်ဖွား ငြိမ်သက်အရှင်၊ တရားမင်း ဘုန်းကြီးဘုရင်၊
အလင်းအသက် စည်းစိမ်မျိုး၊ ဘေးဒဏ်ပေါင်း ကင်းရှင်းတန်ခိုး၊
ပေးပိုင်ရှင် သခင်မြတ်သည် လူထာ၀ရ သက်တည်ကြည်၊
ရစိမ့်သောငှါာ ကောင်းကင်မှ ဆင်းသက်သည်းခံ ဖွားမြင်ရ၊
နားထောင် ကောင်းကင်သား ကြွေးကြော်၊ ခုဖွားမြင် ဘုရင့်ဘုန်းတော်။ (အာမင်)"
88,75,"လာကြပါ တပည့်တော်များ ကျူး","Oh Come All ye Faithful","John F. Wade","ဖွားမြင်တော်မူခြင်း","လု၊ ၂း၁၅","files/hymn-88.pdf","files/hymn-88.pptx",5,"[Verse 1]"
89,76,"ကြည်လင်လှသော သန်းခေါင်ယံကျူး","It came upon the midnight clear","Richard S. Willis","ဖွားမြင်တော်မူခြင်း","လု၊ ၂း၁၄","files/hymn-89.pdf","files/hymn-89.pptx",3,"[Verse 1]"
90,77,"တိတ်ဆိတ်ည၊ သန့်ရှင်းညကျူး","Silent Night! Holy Night","Franz Gruber (1787-1863)","ဖွားမြင်တော်မူခြင်း","လု၊ ၂း၈-၁၁","files/hymn-90.pdf","files/hymn-90.pptx",4,"[Verse 1]"
91,78,"ကောင်းကင်တမန်သီချင်း","While shepherds watched their flocks by night","Este’s","ဖွားမြင်တော်မူခြင်း","လု၊ ၂း၁၀","files/hymn-91.pdf","files/hymn-91.pptx",6,"[Verse 1]"
92,79,"ဖွားမြင်တော်မူခြင်းကျူး","The first Noel","N/A","ဖွားမြင်တော်မူခြင်း","လု၊ ၁း၆၈-၇၅","files/hymn-92.pdf","files/hymn-92.pptx",6,"[Verse 1]"
