title,youtube,description,song_writer,style,key,lyrics,music_notes
မြေမှုန့်ထဲမှ,,,,,"<p>Verb : ကိုယ်တော်ကြောင့်သာ ကျွနု်ပ်ဖြစ်သည်&nbsp;</p>

<p>ကိုယ်တော်သာမရှိရင် ကျွနု်ပ်လည်းမရှိ&nbsp;</p>

<p>ကိုယ်တော်သာ အစနှင့်အဆုံးဖြစ်သည်&nbsp;</p>

<p>တကယ်ဆိုရင် ကျွန်ုပ်မှာ ဘာမှမရှိ&nbsp;</p>

<p>ဘယ်တော့မှ မစွန့်ပစ်ခဲ့ဘူး&nbsp;</p>

<p>ဘဝမုန်းတိုင်းကြမ်းတမ်းလည်း&nbsp;</p>

<p>အမြဲအစဉ်ပို့ဆောင်တယ်</p>

<p><br />
Cho : မြေမှုန့်ထဲမှ ကိုယ်တော်ချီးမြှောက်&nbsp;</p>

<p>တကယ်ဆိုကျွန်ပ်ဘဝသုညပါ&nbsp;</p>

<p>ကိုယ်တော်ကျေးဇူးရေတွက်မဆုံးဘူး&nbsp;</p>

<p>တကယ်ဆို ကျွနု်ပ်ဘဝသုညပါ&nbsp;</p>

<p>သခင့်ရဲ့ဂရုဏာကြောင့်သာ&nbsp;</p>

<p>ယနေ့ထိ ပို့ဆောင်ခဲ့တာ&hellip;</p>",
နက်ရှိုင်းရာသို့,,"Susanna Min",,,"<p>Verb : သာ၍ တိုးပြီးသိချင်တယ်&nbsp;</p>

<p>နေ့ရက်တိုင်းသခင့်အလိုတော်<br />
&nbsp;<br />
သာ၍ တိုးပြီးကြားချင်တယ် ကိုယ်တော့်အသံ&nbsp;</p>

<p>သခင်မြင်တတ်သလို ကျွနု်ပ်မြင်စေပါ&nbsp;</p>

<p>သခင်ပြောတဲ့အတိုင်းပြောတတ်စေ&nbsp;</p>

<p>ကျွန်ုပ်နှလုံးသားရှေ့တော်၌ ဖွင့်ဟပြီ</p>

<p>ရှေ့မှောက်ပူဇော်မည် ကျွန်ုပ်အစွမ်းအစရှိသမျှဖြင့်&nbsp;</p>

<p>ကိုယ်တော်ပုလ္လင်တော်ခြေရင်းမှာကိုးကွယ်&hellip;</p>

<p><br />
Cho : နက်ရှိုင်းရာသို့ ကျွန်ုပ်ကိုဆွဲခေါ်ပါ&nbsp;</p>

<p>သခင်မေတ္တာထဲပျော်ဝင်စီးမျော်နေချင်&nbsp;</p>

<p>ဆာငတ်စွာဖြင့် ကျွနု်ပ်အော်ဟစ်တောင့်တပြီ&nbsp;</p>

<p>သခင်ရဲ့မေတ္တာ ကျွနု်ပ်အထဲသို့ဖြည့်မူပါ</p>

<p><br />
Pre : မကြားဖူး မတွေ့ဖူး မမြင်နိုင်သောအရပ်ဆီသို့&nbsp;</p>

<p>တဆင့်ပြီးတဆင့်တိုး၍ ဆွဲခေါ်မူပါ&nbsp;</p>

<p>သခင့်ရဲ့နှလုံးသားနဲ့ ကျွနု်ပ်ထပ်တူညီစေ&nbsp;</p>

<p>အနက်ရှိုင်းဆုံးသော သခင့်မျက်မှောက်တော်ထဲ&hellip;<br />
&nbsp;</p>",
ဘဝလိုအင်,,,,,"<p>Verb : ဆာငတ်နေသော ကျွန်ုပ်နှလုံးသား တို့ထိမူပါ</p>

<p>မျှော်လင့်နေသောကျွန်ုပ်ဝိညာဉ် ရောင့်ရဲစေပါ</p>

<p>ကိုယ်တော်ကို ကျွန်ုပ်ကြိုးစား၍ဖွေရှာ</p>

<p>ခေါ်ဆောင်ပါ ကိုယ်တော်ရဲ့မျက်မှောက်ဝယ်&nbsp;</p>

<p>Cho : ခန္ဓာစိတ်ဝိညာဉ် ကိုယ်တော်ကို မျှော်လင့်လိုနေတယ်&nbsp;</p>

<p>ရေမရှိသွေ့ခြောက်လွင်ပြင်မှာ</p>

<p>ခန္ဓာစိတ်ဝိညာဉ် ကိုယ်တော်ကို တမ်းလို့နေတယ်</p>

<p>ကိုယ်တော်သာ ကျွန်ုပ်ဘဝရဲ့လိုအင်ပါ</p>

<p>ငိုကြွေးနေသော အကျွန်ုပ်နှလုံးသား အောက်မေ့မူပါ</p>

<p>မျှော်လင့်စရာအခွင့် ကျွန်ုပ်ဝိညာဉ်တွေ့ရှိစေပါ</p>

<p>ကိုယ်တော်ကို ကျွန်ုပ်ကြိုးစား၍ဖွေရှာ</p>

<p>ခေါ်ဆောင်ပါ ကိုယ်တော်ရဲ့မျက်မှောက်ဝယ်</p>",
"ဆာလံ ၁၈",,,,,"<p>(အိုထာဝရဘုရား အကျွန်ုပ်၏ခွန်အားဗလ&nbsp;</p>

<p>ကိုယ်တော်ကို အကျွန်ုပ်ချစ်ပါ၏) ၂</p>

<p>ထာဝရဘုရားသည် ငါ၏ကျောက်၊ ငါ၏မြို့ရိုး</p>

<p>ငါ့ကိုကယ်လွှတ်သောသခင် ငါ၏ဘုရား</p>

<p>ငါကိုးစားသောအစွမ်းသတ္တိ ငါ၏အကွယ်အကာ</p>

<p>ငါ့ကိုကယ်တင်သောဦးချို</p>

<p>ငါ၏ရဲတိုက်ဖြစ်တော်မူ၏</p>",
ထာဝရအကောင်းဆုံးမိတ်ဆွေ,,,,,"<p>Verb 1 : ကောင်းမြတ်သော ဘုရားရှင် ကျွန်ုပ်၏အသက်သခင်&nbsp;</p>

<p>ကိုယ်တော်ဘုရားသာ ထာဝရဘုရင်&nbsp;</p>

<p>အပြစ်နဲ့ကင်းတဲ့ သိုးသူငယ် သန့်ရှင်းမြင့်မြတ်သူ&nbsp;</p>

<p>ကျွန်ုပ်ရဲ့အပြစ်ကြွေးများအားဆပ်ပေးသူ&nbsp;</p>

<p>ကိုယ်တော်ရဲ့အကြောင်းချီးမွမ်းမကုန်နိုင်</p>

<p>Cho : ကိုယ်တော်သာ ထာဝရအကောင်းဆုံး ကျွန်ုပ်ရဲ့မိတ်ဆွေ&nbsp;</p>

<p>ထာဝရအကောင်းဆုံးကျွန်ုပ်ရဲ့အနားမှာ အစဉ်အမြဲ&nbsp;</p>

<p>ထာဝရအကောင်းဆုံး ကျွန်ုပ်ရဲ့ဘုရားသခင်&nbsp;</p>

<p>ထာဝရအစဉ် ကိုယ်တော်ရှင်သာ အကောင်းမြတ်ဆုံးသခင်</p>

<p>Verb 2 : အကြီးမြတ်ဆုံးဘုရားသားတော် အရာအားလုံးရဲ့သခင်&nbsp;</p>

<p>ထာဝရစိုးစံ အနန္တတန်ခိုးရှင်&nbsp;</p>

<p>အမြင့်မြတ်ဆုံးဘုန်းစည်းစိမ် ကျွန်ုပ်အတွက်စွန့်ကာ&nbsp;</p>

<p>နှိမ့်ချ၍ အသွေးနဲ့ ရွေးဝယ်ခဲ့သူ&nbsp;</p>

<p>ကိုယ်တော်ချစ်ခြင်း ချီးမွမ်းမကုန်နိုင်<br />
&nbsp;</p>",
"ရေစီးသော သက်စမ်းရေ",,,,,"<p>Verb : ရေစီးသော သက်စမ်းရေ ဆာငတ်တောင့်တနေသော &hellip; သမင်ငယ်အလား&nbsp;</p>

<p>ငါ့ဝိညာဉ် ကိုယ်တော်သာ &hellip; အစဉ်တမ်းတလျက်နေကာ &hellip; ချီးမွမ်းနေမည် &hellip;</p>

<p>Cho : ကိုယ်တော်သာ ငါ့ရဲတိုက်ဖြစ်ပေ &hellip;</p>

<p>ငါ့ဝိညာဉ်ကို &hellip; ဝမ်းမြောက်ရွှင်လန်းစေ &hellip; &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</p>

<p>ငါ့ဝိညာဉ် ကိုယ်တော်သာ &hellip; အစဉ်တမ်းတလျက်နေကာ &hellip;ချီးမွမ်းနေမည် &hellip;</p>

<p>ကိုယ်တော်သည် ဘုန်းကြီးရှင် &hellip; ဘုရင်ဖြစ်လျက် ကျွန်ုပ် &hellip; မိတ်ဆွေ ဖြစ်ပေ &hellip;&nbsp;</p>

<p>ကိုယ်တော်ကို ချစ်ပါ၏ &hellip;ရှိရှိသမျှထက်သာ၍ ချစ်ပါ၏ &hellip;</p>",
အချစ်မြတ်နိုးဆုံးသခင်,,,,,"<p>Verb 1 : ကိုယ်တော်အစဉ်ကောင်းမြတ်သည်&nbsp;</p>

<p>နံနက်တိုင်းဂရုဏာအသစ်ကိုပေး</p>

<p>ဆုံးရှုံးခြင်းမှ ကျွနု်ပ်အားရွေးနှုတ်ယူပြီ&nbsp;</p>

<p>နှုတ်ဖြင့်မြွက်ဆိုမမှီနိုင်သော</p>

<p>Verb 2 : ကိုယ်တော်အစဉ်ကောင်းမြတ်သည်&nbsp;</p>

<p>ထာဝရအသက်ရှင်ခြင်းကိုပေး</p>

<p>လွတ်မြောက်ခြင်းနဲ့သခင့်အနားတိုးဝင်နိုင်ပြီ&nbsp;</p>

<p>နှုတ်ဖြင့်မြွက်ဆိုမမှီနိုင်သော</p>

<p>Cho : ကိုယ်တော်ရဲ့ချစ်မေတ္တာ ကျွန်ုပ်အတွက်ထာဝရပါ</p>

<p>ကျွန်ုပ်ဝိညာဉ် အသက်စွန့်ကာရွေးခဲ့</p>

<p>ကိုယ်တော်ရှင်ရဲ့ဂရုဏာ&nbsp;</p>

<p>ကျွန်ုပ်အတွက် အစဉ်မပြောင်းလဲတည်မြဲနေ&nbsp;</p>

<p>ဝိညာဉ်နှလုံးသားထဲက အချစ်မြတ်နိုးဆုံး ကျွန်ုပ်သခင်</p>

<p><br />
Verb 3 : ကိုယ်တော်အစဉ်ကောင်မြတ်သည် &nbsp;&nbsp;</p>

<p>စုံလင်သောအသက်တာသစ်ကိုပေး&nbsp;</p>

<p>သခင်ရဲ့အသက်နဲ့ကျွနု်ပ်အားအသက်ရှင်စေပြီ&nbsp;</p>

<p>နှုတ်ဖြင့်မြွက်ဆိုမမှီနိုင်သော<br />
&nbsp;</p>",
အလုံးစုံအရှင်,,,,,"<p>V1 : ကျွန်ုပ်အားနည်းစဉ် ကျွနု်ပ်ခွန်အား&nbsp;</p>

<p>ကျွန်ုပ်ရှာဖွေသော ရတနာ &nbsp;</p>

<p>ကိုယ်တော်အလုံးစုံ၏အရှင်&nbsp;</p>

<p>ကိုယ်တော်ကို ကျောက်မျက်ကဲ့သို့ရှာ&nbsp;</p>

<p>လက်လျော့လျှင် ကျွန်ုပ် မိုက်မဲမည်&nbsp;</p>

<p>ကိုယ်တော်အလုံးစုံ၏အရှင်</p>

<p>Cho : ယေရှု&hellip;သိုးသူငယ်တော် ထိုက်တန်သောနာမဖြစ်သည်</p>

<p>ယေရှုသိုးသူငယ်တော် ထိုက်တန်သောနာ</p>

<p><br />
V2 : ကျွန်ုပ်အပြစ်နှင့်ရှက်ကြောက်ခြင်း</p>

<p>&nbsp;ဆောင်ယူပြီး ပြန်လည်ထမြောက်ခဲ့&nbsp;</p>

<p>နာမတော် ကောင်းကြီးပေးမည်&nbsp;</p>

<p>ကျွန်ုပ်လဲစဉ် ကိုယ်တော်ထူမ</p>

<p>&nbsp;ခြောက်သွေ့စဉ် ကျွန်ုပ်ခွက်ဖြည့်ပေး&nbsp;</p>

<p>ကိုယ်တော်အလုံးစုံ၏အရှင်</p>",
လင်းစေပါ,,Anonymous,,,"<p>V1- ခြောက်သွေ့တဲ့ ဘဝရဲ့ပြေးလမ်းထက်မှာ ခရီးနှင်ချိန်&nbsp;</p>

<p>နာကျင်စရာ ဒဏ်ရာတွေသာပြည့်နှက်လို့ အစဉ်သာ&nbsp;</p>

<p>ဒုက္ခရဲ့အမိုးအောက်မှာ အသက်ရှင်လည်း ရင်မှာ&nbsp;</p>

<p>အနွေးထွေးဆုံးပွေ့ဖက်တာ ကိုယ်တော်ပဲ&nbsp;<br />
&nbsp;<br />
V2 - အပြစ်မဲ့တဲ့အသွေးစက်များသွန်းပြီး အပြစ်တွေ ချွတ်ပယ်ရန်&nbsp;</p>

<p>ကရာနီတောင်ကို ကိုယ်တိုင်သူလမ်းလျှောက်ခဲ့ တစ်ယောက်တည်း&nbsp;</p>

<p>စဉ်းစားတိုင်းနှလုံးသားထဲမှာ ပဲ့ကြွေတဲ့ ဒီရင်ထဲက မိုးစက်လေးတွေ&nbsp;</p>

<p>ကျွန်ုပ်သခင်ရဲ့ရင်ခွင်တော်ထက်ဆီ&nbsp;</p>

<p>Cho : ပူဇော်ကာဒူးထောက် ကိုးကွယ်ပြပ်ဝပ်မည်&nbsp;</p>

<p>အကောင်းမြတ်ဆုံးအလှပဆုံးသခင်&nbsp;</p>

<p>အရှင်သခင်ယေရှု ကျွန်ုပ်အတမ်းတဆုံး&nbsp;</p>

<p>အားနည်းတဲ့ကျွန်ုပ်ကို ပဲ့ကိုင်ပါ&nbsp;</p>

<p>ရင်ခွင်မှာထွေးပွေ့ထားကာ လမ်းပြပါ</p>

<p>လောကရဲ့လမ်းကြမ်းထက်မှာ&nbsp;</p>

<p>ထာဝစဉ်စုံလင်သော သမ္မာတရားရဲ့အလင်းကို&nbsp;</p>

<p>ကျွန်ုပ်ဘဝရဲ့အသက်တာထဲမှာလင်းစေပါ</p>",
သခင်,,,,,"<p>V-1 မပြောင်းလဲနိုင်တဲ့မေတ္တာ မခမ်းတဲ့အကြင်နာတရား&nbsp;</p>

<p>ထာဝရ ကျွန်ုပ်ရဲ့အတွက်ပါ အခြားသောအရာပြိုလဲ&nbsp;</p>

<p>ဘာမှမရှိတော့လဲ သခင်နဲ့ပြည့်စုံတယ်</p>

<p>V-2 နှလုံးသားရဲ့အတွင်းဆုံးမှာ နက်ရှိုင်းစွာခိုနား&nbsp;</p>

<p>သခင်က ကျွန်ုပ်ရဲ့ဘဝပါ အးနည်းသူကျွန်ုပ်အား&nbsp;</p>

<p>အစဉ်အားဖြည့်ပေးတာ သခင့်ရဲ့ချစ်ဂရုဏာ&nbsp;</p>

<p>Cho : အရာရာတွေတိုင်းက သခင့်ရဲ့အထဲကဖြစ်လာ<br />
&nbsp;<br />
ကျွန်ုပ်ရဲ့ ရှင်သန်ခြင်း အချိန်တိုင်းသခင့်အားဖြင့်သာ&nbsp;</p>

<p>အရာရာတွေတိုင်းဟာ သခင့်ရဲ့ အဖို့အလို့ငှာဖြစ်တည်နေမြဲပါ&nbsp;</p>

<p>ကိုယ်တော်အလိုရှိရာ ကျွန်ုပ်ဘဝအားပြုပြင်ပါ&nbsp;</p>

<p>ကျွန်ုပ်ရဲ့ အလိုဆန္ဒ မြေမြုပ်နေ့ရက်တိုင်းမှာ&nbsp;</p>

<p>အရာရာတွေတိုင်းဟာ သခင့်ရဲ့ဘုန်းအဖို့သာ ထင်ရှားစေပါ</p>

<p>Bridge : (အကျွန်ုပ်ရဲ့ဘဝထဲမှာ လည်ပြန်ကြည့်လိုက်တိုင်းမှာ</p>

<p>ကိုယ်တော်ရှင်မေတ္တာသာ ကျွန်ုပ်ဘဝမှာ လုံလောက်နေတာ)</p>",
သခင်သုံးလျှင်,,,,,"<p>V1 : ကိုယ်စွမ်းမဲ့သော်လည်း သခင်သုံးလျှင်&nbsp;</p>

<p>သုညဖြစ်ဖြစ် သုံးတော်ခံနိုင်သည်</p>

<p>စေခိုင်းသော အမှုတော်ထမ်းရွက်ဖို့လိုသည်&nbsp;</p>

<p>V2 : အတားဆီးတွေကို ရင်ဆိုင်ဖို့ရန်&nbsp;</p>

<p>မုန်းတိုင်းလှိုင်းလုံးကြီးတွေ ကျော်လွန်ရန်</p>

<p>ခွန်အားများ ယူ၍ တို့ရဲရင့်ကြပါစို့ &hellip;</p>

<p><br />
Cho : အောင်မြင်ခြင်းကို ထ၍သိမ်းပိုက်ရယူဖို့ &hellip;<br />
&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<br />
အချိန်ရောက်ပြီ &hellip; ငါတို့များ အားယူ ရဲရင့်ကြပါစို့&nbsp;</p>

<p>သမ္မာတရား အတိုင်းသာ လိုက်လျှောက် အသက်ရှင်ရင်&nbsp;</p>

<p>သခင်ဘုရားသည် &hellip; ကတိတော် ထားရာပြည်ကို သိမ်းပိုက်စေမည် &hellip;<br />
&nbsp;</p>",
